,Nombre,Descripcion,Img,Info
205,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
206,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
207,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
208,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
209,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
210,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
211,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
212,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
213,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
214,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
215,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
216,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
217,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
218,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
219,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
220,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
221,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
222,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
223,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
224,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
225,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
226,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
227,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
228,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
229,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
230,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
231,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
232,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
233,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
234,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
235,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
236,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
237,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
238,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
239,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
240,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
241,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
242,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
243,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
244,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
245,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
246,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
247,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
248,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
249,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
250,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
251,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
252,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
253,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
254,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
255,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
256,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
257,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
258,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
259,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
260,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
261,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
262,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
263,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
264,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
265,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
266,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
267,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
268,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
269,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
270,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
271,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
272,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
273,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
274,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
275,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
276,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
277,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
278,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
279,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
280,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
281,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
282,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
283,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
284,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
285,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
286,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
287,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
288,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
289,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
290,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
291,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
292,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
293,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
294,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
295,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
296,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
297,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
298,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
299,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
300,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
301,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
302,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
303,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
304,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
305,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
306,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
307,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
308,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
